Rank,Sourceid,Title,SJR,SJR Best Quartile,URL,Scope
11,19651,"""Clinical Microbiology Reviews""",8.964,Q1,https://www.scimagojr.com/journalsearch.php?q=19651&tip=sid&clean=0,"clinical microbiology reviews® (cmr) accepts reviews that are of primary interest to clinical microbiologists, medical microbiologists and immunologists, public health workers, infectious disease clinicians, and others who are interested in the pathogenesis, laboratory diagnosis, epidemiology, and control of human and veterinary pathogens. the articles should present comprehensive, critical summaries of current knowledge in the field, in other words, authoritative narrative review articles. the content of the article should not be limited to a discussion of the author's work. sufficient historical or other background material may be included for those readers who are not current with the latest advances in the particular field. if the material covered is controversial, the author should attempt to provide balanced coverage. appropriate reviews would include those addressing pathogenic mechanisms, specific or groups of microbial pathogens, clinical and laboratory aspects of newly recognized or reemerging infectious diseases, recently developed antimicrobial agents and their application, and new diagnostic laboratory technology."
12,21272,"""Journal of Experimental Medicine""",7.265,Q1,https://www.scimagojr.com/journalsearch.php?q=21272&tip=sid&clean=0,"since its inception in 1896, the goal of journal of experimental medicine (jem) has been to publish outstanding and enduring studies in medical biology. at a time when many leading publishing groups are establishing topic-specific journals, we believe it is critical to complement that approach by offering a distinguished venue for publication of studies that integrate disciplines within the field of pathogenesis."
13,21100942855,"""Lancet Rheumatology, The""",6.633,Q1,https://www.scimagojr.com/journalsearch.php?q=21100942855&tip=sid&clean=0,
14,4700152228,"""Molecular Systems Biology""",6.523,Q1,https://www.scimagojr.com/journalsearch.php?q=4700152228&tip=sid&clean=0,"systems biology is an integrative discipline that seeks to explain the properties and behaviour of complex biological systems in terms of their components and their interactions.

molecular systems biology is a peer-reviewed open access journal that publishes high-quality research in the fields of systems biology, synthetic biology and systems medicine.

the editors select manuscripts based on their novelty and wide biological significance. although the primary emphasis of the journal is on molecular components and their interactions, systems studies at the organ level may also be considered. works describing large-scale datasets will be judged, in part, by the extent to which these datasets are integrated both with each other and with computational models, with the ultimate aim to better understand the dynamic and complex nature of living systems. reports of new experimental methods will also be considered in the context of this policy.

topics falling within the scope of the journal include, but are not limited to:

- integrative genome-scale biology 
- quantitative biology
- computational biology 
- metabolic and regulatory networks 
- evolution of genomes and biological networks
- clinical and translational systems biology 
- synthetic biology and genome-scale biological engineering
- molecular systems biology publishes research articles as full-length articles or short reports. 

the journal also publishes methods, reviews, news & views, correspondences and editorials."
15,19614,"""Annual Review of Microbiology""",6.395,Q1,https://www.scimagojr.com/journalsearch.php?q=19614&tip=sid&clean=0,"the annual review of microbiology, in publication since 1947, covers significant developments in the field of microbiology, encompassing bacteria, archaea, viruses, and unicellular eukaryotes."
16,17435,"""EMBO Journal""",5.633,Q1,https://www.scimagojr.com/journalsearch.php?q=17435&tip=sid&clean=0,"the embo journal publishes papers describing original research of broad general interest in molecular and cell biology - a particular emphasis is placed on molecular mechanism and physiological relevance.

the journal encourages and publishes articles that report novel findings of wide biological significance in the areas of: ageing; autophagy; cancer; cell adhesion, polarity & cytoskeleton; cell cycle; cell death; developmental biology; dna replication, repair & recombination; chromatin, epigenetics & genomics; immunology; membrane & intracellular transport; metabolism; microbiology, virology & host pathogen interaction; molecular biology of disease; neuroscience; plant biology; post-translational modifications, proteolysis & proteomics; rna biology; signal transduction; stem cells; structural biology; systems, chemical & computational biology; transcription; protein biosynthesis & quality control; vascular biology"
17,19136,"""Annals of the Rheumatic Diseases""",5.366,Q1,https://www.scimagojr.com/journalsearch.php?q=19136&tip=sid&clean=0,"annals of the rheumatic diseases (ard) is an international peer review journal committed to promoting the highest standards of scientific exchange and education. it covers all aspects of rheumatology, which includes the spectrum of musculoskeletal conditions, arthritic disease, and connective tissue disorders. ard publishes basic, clinical, and translational scientific research. concise scientific communication is encouraged and peer reviewed proceedings of international meetings are featured. educational papers include state of the art reviews, ""how to"" articles and educational cases that focus on problems faced in clinical practice. the journal was first published in 1939 and has an authorative global editorial board and a growing international readership."
18,21100369870,"""Lancet HIV,The""",5.296,Q1,https://www.scimagojr.com/journalsearch.php?q=21100369870&tip=sid&clean=0,"the lancet hiv launched in september 2014 as an exclusively online journal, publishing original research, expert commentary, informative editorials, and timely correspondence. the monthly journal provides readers with context and insight into the clinical advances and practice-changing research shaping the study of hiv/aids today.

now is a critical moment in the fight against hiv/aids. despite the world view that the end of aids may be within reach, the job of controlling this epidemic is certainly not done. as hiv disease evolves to become a chronic infection, the interaction of the virus with other chronic conditions will present a host of new challenges. the lancet hiv is a journal for a new era in the history of hiv/aids.

the lancet hiv builds on the lancet journals' reputation for publishing hiv/aids research to provide a reliable foundation for advocacy and for programmatic and political change. we will consider clinical, epidemiological, operational, and implementation research, unifying these disciplines across a single vision for the health of those living with hiv."
19,21365,"""Trends in Immunology""",4.89,Q1,https://www.scimagojr.com/journalsearch.php?q=21365&tip=sid&clean=0,"trends in immunology plays an essential role in monitoring advances in the various fields of immunology, bringing together the results in a readable and lucid form. the backbone of each issue is a series of succinct reviews and hypothesis-driven viewpoints. together with the other sections of the magazine they give the reader a complete picture of the diverse field of immunology. this broad perspective makes trends in immunology an invaluable information source for researchers, lecturers and students alike. trends in immunology helps to link developments in basic and clinical immunology, and is now established as one of the top-ranked monthly review journal in its field, according to isi's science citation index for immunology journals."
20,21100390174,"""Annual Review of Virology""",4.839,Q1,https://www.scimagojr.com/journalsearch.php?q=21100390174&tip=sid&clean=0,"the annual review of virology communicates exciting advances in our understanding of viruses of animals, plants, bacteria, archaea, fungi, and protozoa. reviews highlight new ideas and directions in basic virology, viral disease mechanisms, virus-host interactions, and cellular and immune responses to virus infection, and reinforce the position of viruses as uniquely powerful probes of cellular function.the annual review of virology debuted in the 2016 release of the journal citation report (jcr) with an impact factor of 3.345."
21,25454,"""Blood""",4.834,Q1,https://www.scimagojr.com/journalsearch.php?q=25454&tip=sid&clean=0,"blood, the official journal of the american society of hematology, published online and in print, provides an international forum for the publication of original articles describing basic laboratory, translational, and clinical investigations in hematology. acceptance of manuscripts is based on the originality and importance of the observations or investigations, the quality of the work and validity of the evidence, the clarity of presentation, and the relevance to our readership and field. all articles are expected to be concise, well organized and clearly written. authors submit a manuscript with the understanding that the manuscript (or its essential substance) has not been published other than as an abstract in any language or format and is not currently submitted elsewhere for print or electronic publication.

primary research articles will be published under the following scientific categories: clinical trials and observations; gene therapy; hematopoiesis and stem cells; immunobiology and immunotherapy scope; myeloid neoplasia; lymphoid neoplasia; phagocytes, granulocytes and myelopoiesis; platelets and thrombopoiesis; red cells, iron and erythropoiesis; thrombosis and hemostasis; transfusion medicine; transplantation; and vascular biology. papers can be listed under more than one category as appropriate. authors are invited to contact the editor-in-chief prior to submission if they are uncertain whether their work falls within the general scope of the journal."
22,20810,"""Immunological Reviews""",4.801,Q1,https://www.scimagojr.com/journalsearch.php?q=20810&tip=sid&clean=0,"while each volume of immunological reviews is devoted to a single topic of immunological research, collectively their aim is to provide a broad and continuously updated survey of advances in basic immunology and their clinical applications."
23,21100242814,"""eLife""",4.752,Q1,https://www.scimagojr.com/journalsearch.php?q=21100242814&tip=sid&clean=0,"elife welcomes the submission of research articles, short reports, tools and resources articles, research advances, scientific correspondence and review articles in the subject areas below. biochemistry and chemical biology; cancer biology; cell biology; chromosomes and gene expression; computational and systems biology; developmental biology; ecology; epidemiology and global health; evolutionary biology; genetics and genomics; human biology and medicine; immunology and inflammation; microbiology and infectious disease; neuroscience; physics of living systems; plant biology; stem cells and regenerative medicine; structural biology and molecular biophysics"
24,21872,"""Eurosurveillance""",4.417,Q1,https://www.scimagojr.com/journalsearch.php?q=21872&tip=sid&clean=0,"eurosurveillance aims to be the authoritative and representative public health voice of the communicable disease community in europe and beyond. our main focus is on europe, and authors from other parts of the world are encouraged to submit articles, provided that they add value to a european audience. 

our main objectives are to:

provide facts and guidance for health professionals and decision-makers to facilitate the implementation of effective prevention and control measures;
support the preparedness and response to health threats in europe through the rapid dissemination of high-quality authoritative scientific information on relevant outbreaks or emergency situations;
provide a european-specific platform for health professionals to share scientific findings in infectious disease epidemiology, prevention and control;
disseminate surveillance data on communicable diseases and publish analyses and interpretations of these data;
offer, where possible, assistance to authors from all european union countries in improving the impact and quality of national information on communicable diseases."
25,21100401152,"""Microbiome""",4.394,Q1,https://www.scimagojr.com/journalsearch.php?q=21100401152&tip=sid&clean=0,"the central purpose of microbiome is to unite investigators conducting microbiome research in environmental, agricultural, and biomedical arenas.

topics broadly addressing the study of microbial communities, such as, microbial surveys, bioinformatics, meta-omics approaches and community/host interaction modeling will be considered for publication. through this collection of literature microbiome hopes to integrate researchers with common scientific objectives across a broad cross-section of sub-disciplines within microbial ecology."
26,20278,"""Microbiology and Molecular Biology Reviews""",4.191,Q1,https://www.scimagojr.com/journalsearch.php?q=20278&tip=sid&clean=0,"microbiology and molecular biology reviews (mmbr), is recognized as the definitive, broad-based review journal in the disciplines of microbiology, immunology, and molecular and cellular biology, keeping readers abreast of the latest findings about bacteria, viruses, parasites, fungi, and other higher eukaryotes. 

scope includes:

- physiology and enzymology 
- molecular biology 
- chemistry; biosynthesis 
- genetics 
- ecology 
- host-parasite relationships leading to disease 
- cellular biology 
- virology"
27,19708,"""FEMS Microbiology Reviews""",4.039,Q1,https://www.scimagojr.com/journalsearch.php?q=19708&tip=sid&clean=0,"fems microbiology reviews publishes reviews dealing with all aspects of microbiology that have not been surveyed recently. reviews should be devoted to topics of current interest and provide comprehensive, critical and authoritative coverage. they should provide new perspectives and critical, detailed discussions of significant trends in the areas being reviewed and may contain elements of a speculative and selective nature. all reviews should address both specialists and the general reader. whenever possible, reviews should be put into the framework of general microbiology and biology. manuscripts of lectures delivered at symposia that do not review the related field are not acceptable, nor are unevaluated compilations of the literature."
28,12977,"""PLoS Biology""",3.928,Q1,https://www.scimagojr.com/journalsearch.php?q=12977&tip=sid&clean=0,"plos biology is the flagship plos journal in the life sciences and features works of exceptional significance, originality, and relevance in all areas of biological science and at every scale; from molecules to ecosystems, including works at the interface of other disciplines. we also welcome data-driven meta-research articles that evaluate and aim to improve the standards of research in the life sciences and beyond.

we evaluate research based on the important questions it answers as well as its potential to impact an international scientific community as well as educators, policy makers, patient advocacy groups, and society more broadly."
29,21267,"""Journal of Allergy and Clinical Immunology""",3.81,Q1,https://www.scimagojr.com/journalsearch.php?q=21267&tip=sid&clean=0,"the journal of allergy and clinical immunology publishes high-impact, cutting-edge clinical and translational research papers for allergists, immunologists, dermatologists, gastroenterologists, and other physicians and researchers interested in allergic diseases and clinical immunology. articles cover such topics as asthma, food allergy, allergic rhinitis, atopic dermatitis, primary immune deficiencies, occupational and environmental allergy, and other allergic and immunologic diseases, and include clinical trials and mechanistic studies that report on novel therapies, insights into underlying mechanisms, and other discoveries that will inform our understanding of these diseases and ultimately improve the diagnosis and management of patients. with an impact factor of 14.110, the journal ranks 1st of 27 in the allergy category and 6th of 158 in the immunology category in the 2018 journal citation reports®, published by clarivate. the journal of allergy and clinical immunology is also recommended for initial purchase in the brandon-hill study, selected list of books and journals for the small medical library."
30,21100368204,"""Cancer Immunology Research""",3.623,Q1,https://www.scimagojr.com/journalsearch.php?q=21100368204&tip=sid&clean=0,"cancer immunology research publishes outstanding original articles reporting major advances in cancer immunology that span the discipline from basic investigations in host-tumor interactions to developmental therapeutics in model systems, early translational studies in patients, and late-stage clinical trials. the journal disseminates knowledge of immunology to the cancer research community, catalyzing cross-disciplinary work that yields a deeper understanding of the host-tumor relationship, more potent cancer treatments, and improved clinical outcomes.

papers are stringently reviewed, and specific topics of interest include endogenous antitumor immunity, tumor-promoting inflammation, cancer antigens, vaccines, antibodies, cellular therapy, cytokines, immune regulation, immune suppression, immunomodulatory effects of cancer treatment, emerging technologies, and clinical investigations. the journal's special features include ""masters of immunology""—primers by leading immunologists—and ""cancer immunology at the crossroads""—perspectives that highlight the intersection of immunology with other areas of cancer research and allied disciplines."
31,20862,"""Trends in Microbiology""",3.549,Q1,https://www.scimagojr.com/journalsearch.php?q=20862&tip=sid&clean=0,"trends in microbiology provides a multidisciplinary forum for the discussion of all aspects of microbiology: from cell biology and immunology to genetics and evolution, and ranges across virology, bacteriology, protozoology and mycology.

microbiology is, at present, one of the fastest moving disciplines in life sciences, thanks also to technological developments of the recent years. the relative ease and rapidity with which small genomes can be entirely sequenced is beginning to have significant impact on all areas of prokaryote biology, from pathogens to extremophiles, and will fuel new developments, for example, in drugs, vaccines and industrial enzyme research. recent international developments are also responsible for a renewed interest in microbiology.

the table of contents includes a lively mix of commentary, correspondence and review. most articles are commissioned and all of them are peer-reviewed. consequently, they make an authoritative basis for teaching and keeping abreast of developments across the field.

the focus is on molecular microbiology and virology, and includes topics such as genomics, the gamut of plant and animal host-pathogen interactions, host immune responses, characterization and evolution of virulence determinants, cell cycle and differentiation, symbiosis in plant and animal associations, environmental microbiology, biodiversity and evolution, population dynamics, sex and mutagenesis, antibiotic resistance and production, drug and vaccine targets, as well as aspects of prion diseases and of fungal and protozoan biology."
32,21100466864,"""Journal for ImmunoTherapy of Cancer""",3.45,Q1,https://www.scimagojr.com/journalsearch.php?q=21100466864&tip=sid&clean=0,"the journal for immunotherapy of cancer (jitc) is the open access, peer reviewed, online journal of the society for immunotherapy of cancer (sitc). the journal publishes articles on all aspects of tumor immunology and cancer immunotherapy and, in doing so, aims to enrich communication and advance scientific understanding among the many stakeholders in this rapidly evolving field. topics of interest range widely across the basic science-translational-clinical spectrum and include tumor-host interactions, the tumor microenvironment, animal models, predictive and prognostic immune biomarkers, novel pharmaceutical and cellular therapies, vaccines, combination immune-based therapies, and immune-related toxicity."
33,22421,"""Journal of Clinical Virology""",3.355,Q1,https://www.scimagojr.com/journalsearch.php?q=22421&tip=sid&clean=0,journal of clinical virology is an international journal publishing papers on any aspect of human virology that directly pertains to virus-induced clinical conditions. articles from any field of virological study will be considered if the article is relevant to the understanding or manipulation of a disease state.
34,21359,"""Seminars in Immunology""",3.345,Q1,https://www.scimagojr.com/journalsearch.php?q=21359&tip=sid&clean=0,"seminars in immunology is a review journal dedicated to keeping scientists informed of developments in the field of immunology on a topic by topic basis. each issue is thematic in approach, devoted to an important topic of interest to immunologists, focusing on recent advances across a broad spectrum of research, from the molecular and cellular basis of the immune response to the possibilities for its manipulation. every issue is edited by a guest editor, an internationally acknowledged expert in the field, and contains six to eight authoritative invited reviews on different aspects of the subject area. the aim of each issue is to provide a coordinated, readable, and lively review of a selected area, published rapidly to ensure currency."
35,5800173382,"""ISME Journal""",3.344,Q1,https://www.scimagojr.com/journalsearch.php?q=5800173382&tip=sid&clean=0,"the isme journal seeks to promote diverse and integrated areas of microbial ecology spanning the breadth of microbial life, including bacteria, archaea, microbial eukaryotes, and viruses. contributions of broad biological interest and impact are especially encouraged. topics of particular interest within the journal's scope include those listed below:
- microbial population and community ecology.
- microbe-microbe and microbe-host interactions.
- evolutionary genetics.
- integrated genomics and post-genomics approaches in microbial ecology.
- microbial engineering.
- geomicrobiology and microbial contributions to geochemical cycles.
- microbial ecology and functional diversity of natural habitats.
- microbial ecosystem impacts."
36,21100232818,"""Emerging Microbes and Infections""",3.322,Q1,https://www.scimagojr.com/journalsearch.php?q=21100232818&tip=sid&clean=0,"as an international peer reviewed journal, the mission of emerging microbes & infections (emi) is to provide a new integrated forum to allow for the timely dissemination of large amount of information gathered about microbes and infections, especially ones associated with increasing biological and clinical significance and pathogenic frequency.

the sheer volume and complexity of such information has gone beyond the scale and scope of existing specialty journals, and thus emi is committed to bridging the gap between scientific communities in developed and developing countries where most of the emerging microbes and infections have occurred in recent years.
emi will cover relevant topics of critical biological and clinical value including, but not limited to:

epidemic surveillance;
clinical manifestation;
diagnosis and management;
cellular and molecular pathogenesis;
innate and acquired immune responses between emerging microbes and their hosts;
drug discovery, and
vaccine development"
37,11400153331,"""Mucosal Immunology""",3.248,Q1,https://www.scimagojr.com/journalsearch.php?q=11400153331&tip=sid&clean=0,"mucosal immunology is the official publication of the society of mucosal immunology (smi). it aims to provide a forum for both basic and clinical scientists to discuss all aspects of immunity and inflammation involving mucosal tissues. the journal reflects the interests of scientists studying gastrointestinal, pulmonary, nasopharyngeal, oral, ocular, and genitourinary immunology through the publication of original research articles, scholarly reviews, and timely commentaries, editorials and letters. publication of basic, translational, and clinical studies will all be given equal consideration. in addition, mucosal immunology aims to provide a primary method of communication for the smi governing board and its members through the publication of society news, announcements of planned meetings and conferences, discussions of policy concerns, and advertisements for job and training opportunities."
38,21100297606,"""Arthritis and Rheumatology""",3.205,Q1,https://www.scimagojr.com/journalsearch.php?q=21100297606&tip=sid&clean=0,"arthritis & rheumatology, an official journal of the american college of rheumatology, is a peer-reviewed publication for scientists and clinicians interested in the natural history, pathophysiology, treatment, and outcome of the rheumatic diseases. arthritis & rheumatology publishes the highest quality basic and clinical research related to the rheumatic diseases, encompassing a wide range of areas of investigative activity. in addition, the journal publishes review articles, editorials, and other educational material intended for both researchers and clinicians. serving the worldwide community of rheumatology investigators and clinicians, arthritis & rheumatology is known internationally as a top rheumatology research journal."
39,20689,"""Autoimmunity Reviews""",3.168,Q1,https://www.scimagojr.com/journalsearch.php?q=20689&tip=sid&clean=0,"autoimmunity reviews will publish up-to-date, structured reviews on diverse topics in autoimmunity, written by first-class experts in the field. the articles will include demonstrative illustrations and tables and will all have a ""take-home"" message.

articles will principally be invited by the editors-in-chief upon the recommendations of the international editorial board, and will cover all fields of autoimmunology, bridging the gap between basic and clinical sciences. contributions in basic sciences will include those on the pathophysiology and mechanisms of disorders as well as genomics and proteomics; clinical contributions will focus upon the diseases, novel therapies and clinical associations."
40,20185,"""Allergy: European Journal of Allergy and Clinical Immunology""",3.122,Q1,https://www.scimagojr.com/journalsearch.php?q=20185&tip=sid&clean=0,"the aim of allergy is to advance, impact and communicate all aspects of the discipline of allergy/immunology including educational, basic, translational and clinical research and maintain contact between basic and clinical allergy/immunology.

allergy is an international journal with contributors and readers from all countries. allergy publishes original articles, reviews, position papers, guidelines, editorials, news and commentaries, letters to the editors and correspondences. articles are accepted purely on the basis of scientific merit and quality."
41,20695,"""Brain, Behavior, and Immunity""",3.046,Q1,https://www.scimagojr.com/journalsearch.php?q=20695&tip=sid&clean=0,"brain, behavior, and immunity, founded in 1987, is the official journal of the psychoneuroimmunology research society (pnirs). this innovative journal publishes peer-reviewed basic, experimental, and clinical studies dealing with behavioral, neural, endocrine, and immune system interactions in humans and animals. it is an international, interdisciplinary journal devoted to original research in neuroscience, immunology, integrative physiology, behavioral biology, psychiatry, psychology, and clinical medicine and is inclusive of research at the molecular, cellular, social, and whole organism level."
42,3500148004,"""Cellular and Molecular Immunology""",2.96,Q1,https://www.scimagojr.com/journalsearch.php?q=3500148004&tip=sid&clean=0,"cellular & molecular immunology is a monthly journal from the chinese society of immunology and the university of science and technology of china. covering both basic immunology research and clinical applications, cellular & molecular immunology provides the latest information and advancements in our understanding of the immunological response of the host, both in vitro and in vivo.

the journal publishes articles, review articles, mini reviews and short communications and correspondences in all areas of cellular and molecular immunology, including but not limited to:

clinical immunology
comparative immunology
immunobiology
immunogenetics
immunological techniques
immunopathology
immunopharmacology
infection immunology
neuroimmunology
transplantation immunology
tumor immunology
veterinary immunology."
43,21100850730,"""npj Vaccines""",2.953,Q1,https://www.scimagojr.com/journalsearch.php?q=21100850730&tip=sid&clean=0,"npj vaccines is a multidisciplinary journal that is dedicated to publishing the finest and high-quality research and development on human and veterinary vaccines, including:

discovery and basic science,
nonclinical development of vaccines,
biodefense vaccine,
aids vaccine,
vaccine formulation,
vaccine adjuvants and conjugate vaccines,
cancer/oncology vaccines,
clinical evaluation of vaccines,
vaccine safety,
regulatory science,
conventional and non-conventional vaccines,
live, attenuated vaccines,
inactivated vaccines,
subunit vaccines,
toxoid vaccines,
dna vaccines,
recombinant vector vaccines."
44,21100399469,"""EcoSal Plus""",2.948,Q1,https://www.scimagojr.com/journalsearch.php?q=21100399469&tip=sid&clean=0,"ecosal plus is the authoritative online review journal that publishes an ever-growing body of expert reviews covering virtually all aspects of e. coli, salmonella, and other members of the family enterobacteriaceae and their use as model microbes for biological explorations. this journal is intended primarily for the research community as a comprehensive and continuously updated archive of the entire corpus of knowledge about the enteric bacterial cell.  thoughtful reviews focus on physiology, metabolism, genetics, pathogenesis, ecology, genomics, systems biology, and history e. coli and its relatives. these provide the integrated background needed for most microbiology investigations and are essential reading for research scientists. articles contain links to e. coli k12 genes on the ecocyc database site and are available as downloadable pdf files. images and tables are downloadable to powerpoint files."
45,18797,"""Current Opinion in Immunology""",2.914,Q1,https://www.scimagojr.com/journalsearch.php?q=18797&tip=sid&clean=0,"current opinion in immunology aims to stimulate scientifically grounded, interdisciplinary, multi-scale debate and exchange of ideas. it contains polished, concise and timely reviews and opinions, with particular emphasis on those articles published in the past two years. in addition to describing recent trends, the authors are encouraged to give their subjective opinion of the topics discussed.

in current opinion in immunology we help the reader by providing in a systematic manner: 1. the views of experts on current advances in their field in a clear and readable form. 2. evaluations of the most interesting papers, annotated by experts, from the great wealth of original publications.

current opinion in immunology will serve as an invaluable source of information for researchers, lecturers, teachers, professionals, policy makers and students.

current opinion in immunology builds on elsevier's reputation for excellence in scientific publishing and long-standing commitment to communicating reproducible biomedical research targeted at improving human health. it is a companion to the new gold open access journal current research in immunology and is part of the current opinion and research(co+re) suite of journals. all co+re journals leverage the current opinion legacy-of editorial excellence, high-impact, and global reach-to ensure they are a widely read resource that is integral to scientists' workflow."
