Rank,Sourceid,Title,SJR,SJR Best Quartile,URL,Scope
14,21100456838,"""Cell Chemical Biology""",2.65,Q1,https://www.scimagojr.com/journalsearch.php?q=21100456838&tip=sid&clean=0,"cell chemical biology is a cell press journal publishing research and review content of exceptional interest for the chemical biology community. launched in 1994 under the title chemistry & biology, the journal was the first to recognize the growing importance of investigations done at the interface of chemistry and biology, and its mission has always been to support and promote chemical biology and conversation and collaboration between chemical and life sciences.

cell chemical biology strongly encourages submission of articles that provide significant conceptual advancement of broad general interest to both chemists and biologists. we are especially interested in papers that combine the use of chemical tools to perturb, visualize, and measure biological systems and properties and offer unique insights into molecular mechanism or physiology. we also encourage submissions that are focused on method development for basic life sciences or that have practical impact of either clinical or biotechnological nature. some additional types of research that we consider within our scope are studies of metabolism and physiology; enzyme mechanism and natural product biosynthesis; generation, distribution, and function of small molecule-protein conjugates such as post-translational modifications; mechanism of resistance to small molecules by viruses/bacteria/cancer cells/organisms; intra- and intercellular and intra- and interspecies communication mediated by small molecules; and chemical biology of lipids, sugars, and nucleic acids. finally, large-scale studies enabled by the use of chemistry-based technology, such as proteomics, lipidomics, metabolomics, and glycomics, are also within our scope, as well as synthetic and systems biology work when inspired and supported by chemical tools or aimed at engineering biological systems to perform a new type of chemical transformation."
15,19600166320,"""Protein and Cell""",2.636,Q1,https://www.scimagojr.com/journalsearch.php?q=19600166320&tip=sid&clean=0,"protein & cell publishes original research and review articles concerning the latest developments in
multidisciplinary areas of biology and biomedicine, and has an emphasis on mechanistic studies at the
molecular and cellular levels. manuscripts with innovative ideas and/or approaches that bridge different
fields are considered with priority. the main subject areas include, but are not limited to,
biochemistry/biophysics, cell biology, developmental biology, genetics, immunology, microbiology,
molecular biology, neuroscience, oncology, plant science, protein science, structural biology, and
translational medicine. protein & cell also publishes up-to-date research highlights and commentaries
covering research policies and funding trends in china as well as in other countries."
16,13903,"""Cellular and Molecular Life Sciences""",2.424,Q1,https://www.scimagojr.com/journalsearch.php?q=13903&tip=sid&clean=0,"based in basel, switzerland, the multidisciplinary journal cellular and molecular life sciences (cmls) publishes research articles, reviews, multi-author reviews and visions & reflections articles covering the latest aspects of biological and biomedical research. the journal will consider contributions focusing on biochemistry and molecular biology, cell biology, molecular and cellular aspects of biomedicine, neuroscience, pharmacology and immunology. in addition, cmls welcomes comments on any article published in cmls, as well as suggestions for topics to be covered."
17,19907,"""Medicinal Research Reviews""",2.3,Q1,https://www.scimagojr.com/journalsearch.php?q=19907&tip=sid&clean=0,"medicinal research reviews publishes timely, critical reviews and opinion-based articles on topics related to medicinal research, broadly defined, to which the authors have made significant contributions.

appropriate topics include, but are not limited to, the underlying pathophysiology of important diseases and disease vectors; therapeutic approaches to the treatment of various diseases; the properties of molecular targets for therapeutic agents; important new methodologies facilitating the search for therapies; genomics and proteomics; structure-activity correlations of drug series; the development of new imaging and diagnostic tools; drug metabolism; drug delivery; and chemical, pharmacological, pharmacokinetic, pharmacodynamic, and clinical characteristics of important drugs.

articles are mainly solicited by the editors; however, voluntary contributions are also encouraged. in the latter case, potential authors are asked to contact the editor-in-chief with an outline (see below) before beginning to write in order to avoid duplication of effort and to ensure suitability of the topic and the level of coverage."
18,18017,"""Neuropsychopharmacology""",2.277,Q1,https://www.scimagojr.com/journalsearch.php?q=18017&tip=sid&clean=0,"neuropsychopharmacology is an international scientific journal and the official publication of the american college of neuropsychopharmacology (acnp). this journal focuses upon clinical and basic science contributions that advance our understanding of the brain and behaviour, especially as related to the molecular, cellular, physiological and psychological properties of agents acting within the central nervous system and the identification of the new molecular targets for the development of the next generation of drugs. while original reports are preferred, mini-reviews and perspectives are invited by the editorial office. in view of the interdisciplinary nature of the field, particular emphasis is placed on:

studies that advance the biological bases of normal and pathological behavior
the nature, etiology and pathophysiology of neuropsychiatric disorders
biologically relevant aspects of the epidemiology, diagnosis, and treatment of these disorders
and the basic mechanisms by which psychopharmacological agents exert their effect."
19,19617,"""Antiviral Research""",2.213,Q1,https://www.scimagojr.com/journalsearch.php?q=19617&tip=sid&clean=0,"antiviral research publishes research reports, short communications, review articles and commentaries on the control of viral infections in humans and animals. its scope encompasses: antiviral drugs, antibodies and host-response modifiers, including their synthesis, in vitro and in vivo testing and mechanisms of action; new or improved vaccines against viral infections of humans; assessments of drug and vaccine safety; evolution of drug- or vaccine-resistant viruses and the development of effective countermeasures; identification and validation of new drug targets; laboratory animal models of viral diseases; pathogenesis of viral diseases and mechanisms of viral evasion of host immune responses."
20,20700195026,"""Acta Pharmaceutica Sinica B""",2.2,Q1,https://www.scimagojr.com/journalsearch.php?q=20700195026&tip=sid&clean=0,"peer review under the responsibility of institute of materia medica, chinese academy of medical sciences and chinese pharmaceutical association
acta pharmaceutica sinica b (apsb) is a bimonthly journal, in english, which publishes significant original research articles, rapid communications and high quality reviews of recent advances in all areas of pharmaceutical sciences — including pharmacology, pharmaceutics, medicinal chemistry, natural products, pharmacognosy, pharmaceutical analysis and pharmacokinetics.

apsb is a series of journal of acta pharmaceutica sinica, which was founded in 1953, indexed in chemical abstracts, index medicus, scifinder scholar, biological abstracts, international pharmaceutical abstracts, cambridge scientific abstracts, current bibliography on science and technology, etc. it sponsored by insititute of materia medica, chineses acedemy of medical sciences and chinese pharmaceutical association, production and hosting by elsevier b. v."
21,18148,"""Pain""",2.135,Q1,https://www.scimagojr.com/journalsearch.php?q=18148&tip=sid&clean=0,"this journal is the official publication of the international association for the study of pain and publishes original research on the nature,mechanisms and treatment of pain. the journal provides a forum for the dissemination of research in the basic and clinical sciences of multidisciplinary interest."
22,21100207003,"""Theranostics""",2.061,Q1,https://www.scimagojr.com/journalsearch.php?q=21100207003&tip=sid&clean=0,"the aim of theranostics is to provide a forum for the exchange of clinical and scientific information for the diagnostic and therapeutic molecular and nano medicine community and allied professions involved in the efforts of integrating molecular imaging and molecular therapy. theranostics is a multidisciplinary journal that publishes innovative and original research articles reflecting fields of in vitro diagnostics and prognostics, in vivo molecular imaging, molecular therapeutics, image-guided therapy, biosensor, nanobiosensor and bioelectronics, system biology and translational medicine, point-of-care and personalized medicine. a broad spectrum of biomedical research that can be applied to future theranostic applications is encouraged. in addition to primary research, theranostics also publishes reviews, news, and commentary to understand and bridge the gap among the laboratory, clinic, and biotechnology industries. papers in the journal are rigorously peer-reviewed."
23,21100225611,"""Advanced healthcare materials""",2.015,Q1,https://www.scimagojr.com/journalsearch.php?q=21100225611&tip=sid&clean=0,"advanced healthcare materials was first published as a special focus section in advanced materials in 2011 and launched as an independent journal in 2012. advanced healthcare materials, which is listed in three isi categories (materials science - biomaterials, engineering - biomedical, and nanoscience & nanotechnology), received an impact factor of 6.270 in 2019 (source: journal citation reports (web of science group, 2019)).

advanced healthcare materials is an international, interdisciplinary forum for peer-reviewed papers on high-impact materials, devices, and technologies for improving human health including:

biomaterials, including nanomaterials, hydrogels, 2d materials, biopolymers, composites, biohybrids, biomimetics, as well as inorganic materials for biomedical applications.
biointerfaces, such as antimicrobial surfaces and coatings, mechanobiology and biocompatibility studies, interfaces for cell engineering and stem cell differentiation, 3d cell culture, and immunoengineering.
nanomedicine and nanotechnology with applications in drug delivery, imaging, theranostics, gene therapy, and immunotherapy, and for therapy of infectious diseases, cancer, metabolic diseases, and cardiovascular diseases, as well as for vaccines and precision medicine.
tissue engineering and regenerative medicine including scaffolds and scaffold-free approaches. for example, for bone, ligament, and muscle tissue engineering; skin regeneration and wound healing; nerve grafts; cardiac patches; and tissue vascularization.
biofabrication including (bio)inks and technologies, toward generation of functional tissues and organs.
devices for healthcare applications, such as diagnostics, wearables, implantable devices, microfluidics, biomems, organs-on-a-chip and lab-on-a-chip, bioelectronics, biosensors, actuators, and soft robotics."
24,20084,"""British Journal of Pharmacology""",1.993,Q1,https://www.scimagojr.com/journalsearch.php?q=20084&tip=sid&clean=0,"published on behalf of the british pharmacological society, the british journal of pharmacology is a broad-based journal giving leading international coverage of all aspects of experimental pharmacology. it publishes high quality original research and authoritative reviews, minireviews, commentary and letters to the editor. each year a range of themed issues are published and a must-read special edition, the concise guide to pharmacology, is published biennially. the journal is recognised as one of the leading publications in its field. it is online only, publishes open access research through its open access programme and is published fortnightly."
25,23916,"""Environmental Pollution""",1.954,Q1,https://www.scimagojr.com/journalsearch.php?q=23916&tip=sid&clean=0,environmental pollution welcomes high quality submissions on all aspects of environmental pollution and the mitigation measures related to ecosystem & human health
26,23041,"""Journal of Medicinal Chemistry""",1.888,Q1,https://www.scimagojr.com/journalsearch.php?q=23041&tip=sid&clean=0,"the journal of medicinal chemistry publishes studies that contribute to an understanding of the relationship between molecular structure and biological activity or mode of action.

some specific areas that are appropriate include the following:

-design, synthesis, and biological evaluation of novel biologically active compounds, diagnostic agents, or labeled ligands employed as pharmacological tools.
-molecular modifications of reported series that lead to a significantly improved understanding of their structure-activity relationships (sar). routine extensions of existing series that do not utilize novel chemical or biological approaches or do not add significantly to a basic understanding of the sar of the series will normally not be accepted for publication.
-structural biological studies (x-ray, nmr, etc.) of relevant ligands and targets with the aim of investigating molecular recognition processes in the action of biologically active compounds.
-molecular biological studies (e.g., site-directed mutagenesis) of macromolecular targets that lead to an improved understanding of molecular recognition.
-computational studies that provide fresh insight into the sar of compound series that are of current general interest or analysis of other available data that subsequently advance medicinal chemistry knowledge.
-substantially novel computational chemistry methods with demonstrated value for the identification, optimization, or target interaction analysis of bioactive molecules.
-effect of molecular structure on the distribution, pharmacokinetics, and metabolic transformation of biologically active compounds. this may include design, synthesis, and evaluation of novel types of prodrugs.
-novel methodology with broad application to medicinal chemistry, but only if the methods have been tested on relevant molecules."
27,21100218543,"""Molecular Therapy - Nucleic Acids""",1.852,Q1,https://www.scimagojr.com/journalsearch.php?q=21100218543&tip=sid&clean=0,"molecular therapy — nucleic acids is an international, open-access journal publishing top-quality basic, translational, and clinical research in the broad fields of nucleic acid-based therapeutics to treat and/or correct genetic and acquired disease. subject areas include but are not limited to: development of therapeutics based on nucleic acids and their derivatives, vector development and design for the delivery of rna-based therapeutics, applications of gene-modifying agents including triplex-forming oligonucleotides and enzymes such as zn finger nucleases, pre-clinical target validation, safety/efficacy studies, and clinical trials.

other key topics include:

applications of dna-based oligonucleotides and their derivatives
gene vectors for delivery of rna-based therapies
development of nanoparticles and other delivery agents
sirnas, shrnas, and mirnas
aptamers, ribozymes, and dnazymes
peptide nucleic acids
gene-modifying approaches including enzymes, triplex-forming nucleic acids, and other approaches
development of new nucleic acid chemistries for altering gene expression
mechanisms of gene and nucleic acid transfer/transfection
vector trafficking and biodistribution."
28,23010,"""Journal of Controlled Release""",1.812,Q1,https://www.scimagojr.com/journalsearch.php?q=23010&tip=sid&clean=0,"the journal of controlled release (jcr) publishes high-quality research articles in the broad field of delivery science and technology. this includes drug delivery systems and all aspects of formulations, such as physicochemical and biological properties of drugs, design and characterization of dosage forms, release mechanisms, in vivo testing, and formulation research and development in the disciplines of pharmaceutical, diagnostic, agricultural, environmental, cosmetic, and food industries. manuscripts that advance fundamental understanding of principles and/or demonstrate advantages of novel technologies in safety and efficacy over current clinical standards will be given priority. each issue has the cover story highlighting the significance of a selected article published in the issue. at the end of each quarter, the jcr editors select ""the editors' choice"" from the published research articles."
29,21169,"""Pharmacological Research""",1.738,Q1,https://www.scimagojr.com/journalsearch.php?q=21169&tip=sid&clean=0,"pharmacological research publishes cutting-edge articles in biomedical sciences to cover a broad range of topics that move the pharmacological field forward. we provide a venue through which specialists across disciplines can rapidly exchange information in health sciences that pertains to modern pharmacological topics. the journal publishes articles on molecular, biochemical, translational, and clinical research (including clinical trials); it is proud of its rapid publication of accepted papers that comprises a dedicated, fast acceptance and publication track for high profile articles."
30,5100155080,"""Neurotherapeutics""",1.725,Q1,https://www.scimagojr.com/journalsearch.php?q=5100155080&tip=sid&clean=0,"neurotherapeutics® is the journal of the american society for experimental neurotherapeutics (asent). each issue provides critical reviews of an important topic relating to the treatment of neurological disorders written by international authorities.

the journal also publishes original research articles in translational neuroscience including descriptions of cutting edge therapies that cross disciplinary lines and represent important contributions to neurotherapeutics for medical practitioners and other researchers in the field.

neurotherapeutics ® delivers a multidisciplinary perspective on the frontiers of translational neuroscience, provides perspectives on current research and practice, and covers social and ethical as well as scientific issues."
31,14990,"""Current Neuropharmacology""",1.722,Q1,https://www.scimagojr.com/journalsearch.php?q=14990&tip=sid&clean=0,"current neuropharmacology aims to provide current, comprehensive/mini reviews and guest edited issues of all areas of neuropharmacology and related matters of neuroscience. the reviews cover the fields of molecular, cellular, and systems/behavioural aspects of neuropharmacology and neuroscience.

the journal serves as a comprehensive, multidisciplinary expert forum for neuropharmacologists and neuroscientists."
32,20626,"""Clinical Pharmacology and Therapeutics""",1.689,Q1,https://www.scimagojr.com/journalsearch.php?q=20626&tip=sid&clean=0,"clinical pharmacology & therapeutics (cpt) is the authoritative cross-disciplinary journal in experimental and clinical medicine devoted to publishing advances in the nature, action, efficacy, and evaluation of therapeutics. cpt welcomes original articles in the emerging areas of translational, predictive and personalized medicine; new therapeutic modalities including gene and cell therapies; pharmacogenomics, proteomics and metabolomics; bioinformation and applied systems biology complementing areas of pharmacokinetics and pharmacodynamics, human investigation and clinical trials, pharmacovigilence, pharmacoepidemiology, pharmacometrics, and population pharmacology."
33,20783,"""Expert Review of Vaccines""",1.689,Q1,https://www.scimagojr.com/journalsearch.php?q=20783&tip=sid&clean=0,"expert review of vaccines (issn 1476-0584) provides expert commentary on the development, application, and clinical effectiveness of new vaccines. coverage includes vaccine technology, vaccine adjuvants, prophylactic vaccines, therapeutic vaccines, aids vaccines and vaccines for defence against bioterrorism. all articles are subject to rigorous peer-review.

the vaccine field has been transformed by recent technological advances, but there remain many challenges in the delivery of cost-effective, safe vaccines. expert review of vaccines facilitates decision making to drive forward this exciting field."
34,21101018849,"""ACS Pharmacology and Translational Science""",1.673,Q1,https://www.scimagojr.com/journalsearch.php?q=21101018849&tip=sid&clean=0,
35,25152,"""Journal of Toxicology and Environmental Health - Part B: Critical Reviews""",1.61,Q1,https://www.scimagojr.com/journalsearch.php?q=25152&tip=sid&clean=0,"the journal of toxicology and environmental health: part b, critical reviews was instituted to provide a quarterly outlet for in-depth critical reviews, both commissioned and unsolicited, which complement the original research published in the journal of toxicology and environmental health, part a, current issues .

in keeping with the original scope, part b focuses on environmental sciences, public and occupational health as well as toxicology in general but also concentrates on  specific interest fields such as;

target organ toxicities;
nanotechnology/nanotoxicology;
risk assessment and modeling;
carcinogenesis and mutagenesis;
ecotoxicology and aquatic toxicology;
environmental factors affecting public and occupational health.
 

emphasis will be on the toxicological effects of natural and anthropogenic environmental pollutants and their action on both intact organisms and in vitro systems.

all submitted manuscripts are subject to initial appraisal by the editor, and if found suitable for further consideration, will be peer-reviewed by independent and anonymous expert referees. all peer review is single blind and submission is online via scholarone manuscripts."
36,19900193739,"""Nucleic Acid Therapeutics""",1.566,Q1,https://www.scimagojr.com/journalsearch.php?q=19900193739&tip=sid&clean=0,"nucleic acid therapeutics is the leading journal in its field focusing on cutting-edge basic research, therapeutic applications, and drug development using nucleic acids or related compounds to alter gene expression. the journal examines many new approaches for using nucleic acids as therapeutic agents or in modifying nucleic acids for therapeutic purposes including: oligonucleotides, gene modification, aptamers, rna nanoparticles, and ribozymes."
37,16088,"""Journal of Nanobiotechnology""",1.557,Q1,https://www.scimagojr.com/journalsearch.php?q=16088&tip=sid&clean=0,"journal of nanobiotechnology is an open access peer-reviewed journal communicating scientific and technological advances in the fields of medicine and biology, with an emphasis in their interface with nanoscale sciences. the journal provides biomedical scientists and the international biotechnology business community with the latest developments in the growing field of nanobiotechnology.

the journal consists of the following sections:

-nanomaterials in biology, medicine, food, environment and agriculture
-nanoparticles in biology, medicine, food, environment and agriculture
-nanosensors in biology, medicine, food, environment and agriculture
-nanomedicine: diagnostics, imaging, therapy and drug development
-micro- and nanofluidics; micro- & nanoelectromechanical systems (mems & nems)
-nanotoxicology"
38,144771,"""Clinical Trials""",1.55,Q1,https://www.scimagojr.com/journalsearch.php?q=144771&tip=sid&clean=0,"the journal is devoted to topics of generalizable interest to the clinical trials community in general and to clinical trials methodology in particular. topics that fall within the aims and scope of clinical trials include data management, trial logistics, design and conduct of trials, statistical methods, impact of trials on practice and policy, ethics, law and regulation, synthesis and evidence evaluation, history, education and training, patient-related issues, decision analysis, and commentaries on current or controversial issues.

the journal does not publish articles that essentially reproduce the protocol for an individual clinical trial. articles that simply report the results of a completed clinical trial are also not considered."
39,19615,"""Antimicrobial Agents and Chemotherapy""",1.546,Q1,https://www.scimagojr.com/journalsearch.php?q=19615&tip=sid&clean=0,"antimicrobial agents and chemotherapy® features interdisciplinary studies that build our understanding of the underlying mechanisms and therapeutic applications of antimicrobial and antiparasitic agents and chemotherapy. the journal also publishes studies involving animal models, pharmacological characterization, and clinical trials.
chemistry; biosynthesis
mechanisms of action: physiological effects
mechanisms of resistance
susceptibility
biologic response modifiers
analytical procedures
antiviral agents
experimental therapeutics
clinical therapeutics
pharmacology.
sections include:

- commentaries 
- minireviews 
- chemistry; biosynthesis 
- mechanisms of action: physiological effects 
- mechanisms of resistance 
- susceptibility 
- biologic response modifiers 
- analytical procedures 
- antiviral agents 
- experimental therapeutics 
- clinical therapeutics 
- pharmacology 
- recent u.s. food and drug administration approvals"
40,20051,"""BioDrugs""",1.539,Q1,https://www.scimagojr.com/journalsearch.php?q=20051&tip=sid&clean=0,"biodrugs covers the development and therapeutic application of biotechnology-based pharmaceuticals and diagnostic products for the treatment of human disease. the journal includes:

- definitive reviews on topics relating to the development and use of biotechnology in healthcare and the management of disease.
- systematic reviews that collate empirical evidence to answer a specific research question, using explicit, systematic methods as outlined by the prisma statement.
- original research articles on the clinical development and therapeutic application of biotechnology-based pharmaceuticals and diagnostic products.
- leading/current opinion articles providing an overview of contentious or emerging issues and key regulatory and ethical issues.
- adis drug evaluations reviewing the properties and place in therapy of biotechnology-based drugs.
- adis biosimilar briefs summarizing key characteristics and clinical use of biosimilar drugs."
41,22418,"""Journal of Antimicrobial Chemotherapy""",1.495,Q1,https://www.scimagojr.com/journalsearch.php?q=22418&tip=sid&clean=0,"the journal publishes articles that further knowledge and advance the science and application of antimicrobial chemotherapy with antibiotics and antifungal, antiviral and antiprotozoal agents. the journal publishes primarily in human medicine, and articles in veterinary medicine likely to have an impact on global health."
42,19403,"""Acta Pharmacologica Sinica""",1.472,Q1,https://www.scimagojr.com/journalsearch.php?q=19403&tip=sid&clean=0,"aps (acta pharmacologica sinica) encourages submissions from all areas of pharmacology and the life sciences. topics of particular interest include, but are not limited to, anticancer pharmacology, cardiovascular and pulmonary pharmacology, clinical pharmacology, drug discovery, gastrointestinal and hepatic pharmacology, genitourinary, renal and endocrine pharmacology, immunopharmacology and inflammation, molecular and cellular pharmacology, neuropharmacology, pharmaceutics and pharmacokinetics."
43,21100981214,"""Bioengineering and Translational Medicine""",1.47,Q1,https://www.scimagojr.com/journalsearch.php?q=21100981214&tip=sid&clean=0,
44,21196,"""Drug Discovery Today""",1.47,Q1,https://www.scimagojr.com/journalsearch.php?q=21196&tip=sid&clean=0,"drug discovery today delivers informed and highly current reviews for the discovery community. the magazine addresses not only the rapid scientific developments in drug discovery associated technologies but also the management, commercial and regulatory issues that increasingly play a part in how r&d is planned, structured and executed.

features include comment by international experts, news and analysis of important developments, reviews of key scientific and strategic issues, overviews of recent progress in specific therapeutic areas and conference reports.
coverage includes:
• novel therapeutic strategies
• high-throughput screening
• therapeutic targets
• combinatorial chemistry, parallel synthesis and library design
• drug delivery
• adme/tox
• advances in key compound classes and therapeutic areas
• genomics and proteomics
• automation and technology
• virtual chemistry
• informatics
• business strategy
• clinical trials
and other aspects of drug discovery."
