Rank,Sourceid,Title,SJR,SJR Best Quartile,URL,Scope
11,17552,"""Acta Neuropathologica""",5.203,Q1,https://www.scimagojr.com/journalsearch.php?q=17552&tip=sid&clean=0,"acta neuropathologica aims to publish the best papers on pathology of neurological disease, as well as experimental studies on molecular and cellular mechanisms using in vitro and in vivo models, ideally validated by analysis of human tissues.

the journal publishes original papers, review articles, case reports, and scientific correspondence (letters).

manuscripts submitted for publication must contain a statement to the effect that all human studies have been reviewed by the appropriate ethics committee and have therefore been performed in accordance with the ethical standards laid down in an appropriate version of the 1964 declaration of helsinki. it should also be stated clearly in the text that all persons gave their informed consent prior to their inclusion in the study. details that might disclose the identiy of the subjects under study should be omitted.

reports of animal experiments must state that the ""principles of laboratory animal care"" (nih publication no. 86-23, revised 1985) were followed, as well as specific national laws (e.g. the current version of the german law on the protection of animals) where applicable.

the editors reserve the right to reject manuscripts that do not comply with the above-mentioned requirements. the author will be held responsible for false statements or for failure to fulfil the above-mentioned requirements."
12,3600148102,"""Alzheimer's and Dementia""",5.059,Q1,https://www.scimagojr.com/journalsearch.php?q=3600148102&tip=sid&clean=0,"the mission of alzheimer & dementia: journal of the alzheimer association is to bridge the knowledge gaps across a wide range of bench-to-bedside investigation. the journal publishes the results of studies in: behavior, biochemistry, genetics, molecular biology, pharmacology, physiology, protein chemistry, neurology, neuropathology, psychiatry, geriatrics, neuropsychology, epidemiology, sociology, health services research, health economics, political science and public policy. content emphasizes interdisciplinary investigations, integrative/translational articles, related to: etiology, risk factors, early detection, disease modifying interventions, prevention of dementia and applications of new technologies in health services."
13,21100242814,"""eLife""",4.752,Q1,https://www.scimagojr.com/journalsearch.php?q=21100242814&tip=sid&clean=0,"elife welcomes the submission of research articles, short reports, tools and resources articles, research advances, scientific correspondence and review articles in the subject areas below. biochemistry and chemical biology; cancer biology; cell biology; chromosomes and gene expression; computational and systems biology; developmental biology; ecology; epidemiology and global health; evolutionary biology; genetics and genomics; human biology and medicine; immunology and inflammation; microbiology and infectious disease; neuroscience; physics of living systems; plant biology; stem cells and regenerative medicine; structural biology and molecular biophysics"
14,5700191214,"""Molecular Neurodegeneration""",4.731,Q1,https://www.scimagojr.com/journalsearch.php?q=5700191214&tip=sid&clean=0,"molecular neurodegeneration is an open access, peer-reviewed journal that encompasses all aspects of neurodegeneration research at the molecular and cellular levels.

neurodegenerative diseases collectively refer to neurological disorders that result from neurodegeneration and include, but are not limited to, alzheimer's disease, parkinson's disease, huntington's disease, and prion diseases. these diseases, which are often associated with advanced aging and display varying degrees of dementia, have become a significant public health issue as humans live longer and the aging population grows larger. recent advances in the molecular and cellular mechanisms underlying the pathogenesis of these neurodegenerative disorders have allowed for a better understanding of the disease mechanisms."
15,17382,"""Molecular Psychiatry""",4.39,Q1,https://www.scimagojr.com/journalsearch.php?q=17382&tip=sid&clean=0,"molecular psychiatry publishes work aimed at elucidating biological mechanisms underlying psychiatric disorders and their treatment. the emphasis is on studies at the interface of pre-clinical and clinical research, including studies at the cellular, molecular, integrative, clinical, imaging and psychopharmacology levels."
16,14308,"""Biological Psychiatry""",4.224,Q1,https://www.scimagojr.com/journalsearch.php?q=14308&tip=sid&clean=0,"biological psychiatry is the official journal of the society of biological psychiatry, whose purpose is to promote excellence in scientific research and education in fields that investigate the nature, causes, mechanisms and treatments of disorders of thought, emotion, or behavior. in accord with this mission, this peer-reviewed, rapid-publication, international journal publishes both basic and clinical contributions from all disciplines and research areas relevant to the pathophysiology and treatment of major psychiatric disorders.

the journal publishes novel results of original research which represent an important new lead or significant impact on the field, particularly those addressing genetic and environmental risk factors, neural circuitry and neurochemistry, and important new therapeutic approaches. reviews and commentaries that focus on topics of current research and interest are also encouraged."
17,19939,"""Trends in Neurosciences""",4.068,Q1,https://www.scimagojr.com/journalsearch.php?q=19939&tip=sid&clean=0,"for over four decades, trends in neurosciences (tins) has been a prominent source of inspiring reviews and commentaries across all disciplines of neuroscience. tins is a monthly, peer-reviewed journal, and its articles are curated by the editor and authored by leading researchers in their respective fields. the journal communicates exciting advances in brain research, serves as a voice for the global neuroscience community, and highlights the contribution of neuroscientific research to medicine and society."
18,12977,"""PLoS Biology""",3.928,Q1,https://www.scimagojr.com/journalsearch.php?q=12977&tip=sid&clean=0,"plos biology is the flagship plos journal in the life sciences and features works of exceptional significance, originality, and relevance in all areas of biological science and at every scale; from molecules to ecosystems, including works at the interface of other disciplines. we also welcome data-driven meta-research articles that evaluate and aim to improve the standards of research in the life sciences and beyond.

we evaluate research based on the important questions it answers as well as its potential to impact an international scientific community as well as educators, policy makers, patient advocacy groups, and society more broadly."
19,14179,"""Annals of Neurology""",3.876,Q1,https://www.scimagojr.com/journalsearch.php?q=14179&tip=sid&clean=0,"the annals of neurology publishes articles of broad interest in neurology, particularly those with high impact in understanding the mechanisms and treatment of diseases of the human nervous system. although annals publishes papers using a wide variety of clinical and basic neuroscience methods, we are most interested in those manuscripts that will be of general interest to academic neurologists, including clinical trials and other large-scale studies that inform the practice of medicine. purely basic studies, without strong clinical or translational potential, are unlikely to have sufficient priority for publication."
20,14992,"""Current Opinion in Neurobiology""",3.563,Q1,https://www.scimagojr.com/journalsearch.php?q=14992&tip=sid&clean=0,"current opinion in neurobiology publishes short annotated reviews by leading experts on recent developments in the field of neurobiology. these experts write short reviews describing recent discoveries in this field (in the past 2-5 years), as well as highlighting select individual papers of particular significance.

the journal is thus an important resource allowing researchers and educators to quickly gain an overview and rich understanding of complex and current issues in the field of neurobiology. the journal takes a unique and valuable approach in focusing each special issue around a topic of scientific and/or societal interest, and then bringing together leading international experts studying that topic, embracing diverse methodologies and perspectives.

journal content: the journal consists of 6 issues per year, covering 8 recurring topics every other year in the following categories:

-neurobiology of disease-
neurobiology of behavior-
cellular neuroscience-
systems neuroscience-
developmental neuroscience-
neurobiology of learning and plasticity-
molecular neuroscience-
computational neuroscience"
21,20618,"""Stroke""",3.245,Q1,https://www.scimagojr.com/journalsearch.php?q=20618&tip=sid&clean=0,"a journal of cerebral circulation publishes reports of clinical and basic investigation of any aspect of the cerebral circulation and its diseases from many disciplines, including anesthesiology, critical care medicine, epidemiology, internal medicine, neurology, neuro-ophthalmology, neuropathology, neuropsychology, neurosurgery, nuclear medicine, nursing, radiology, rehabilitation, speech pathology, vascular physiology, and vascular surgery."
22,24025,"""Progress in Neurobiology""",3.052,Q1,https://www.scimagojr.com/journalsearch.php?q=24025&tip=sid&clean=0,"progress in neurobiology is an international journal that publishes groundbreaking original research, comprehensive review articles and opinion pieces written by leading researchers. the journal welcomes contributions from the broad field of neuroscience that apply neurophysiological, biochemical, pharmacological, molecular biological, anatomical, computational and behavioral analyses to problems of molecular, cellular, developmental, systems, and clinical neuroscience."
23,20695,"""Brain, Behavior, and Immunity""",3.046,Q1,https://www.scimagojr.com/journalsearch.php?q=20695&tip=sid&clean=0,"brain, behavior, and immunity, founded in 1987, is the official journal of the psychoneuroimmunology research society (pnirs). this innovative journal publishes peer-reviewed basic, experimental, and clinical studies dealing with behavioral, neural, endocrine, and immune system interactions in humans and animals. it is an international, interdisciplinary journal devoted to original research in neuroscience, immunology, integrative physiology, behavioral biology, psychiatry, psychology, and clinical medicine and is inclusive of research at the molecular, cellular, social, and whole organism level."
24,19837,"""Sleep Medicine Reviews""",2.912,Q1,https://www.scimagojr.com/journalsearch.php?q=19837&tip=sid&clean=0,"sleep medicine reviews provides international coverage of sleep disorders, their aetiology, diagnosis, treatment and implications for related conditions at an individual and public health level.

articles review the clinical information published in peer-reviewed journals devoted to the many disciplines involved in sleep medicine, including: pulmonology, psychiatry, psychology, physiology, otolaryngology, paediatrics, geriatrics, cardiology, dentistry, nursing, neurology and general medicine.

the journal publishes narrative reviews, systematic reviews and editorials covering area of controversy and debate, as well as areas of future research."
25,15537,"""Current Biology""",2.905,Q1,https://www.scimagojr.com/journalsearch.php?q=15537&tip=sid&clean=0,"current biology is a general journal that publishes original research across all areas of biology together with an extensive and varied set of editorial sections. a primary aim of the journal is to foster communication across fields of biology, both by publishing important findings of general interest from diverse fields and through highly accessible editorial articles that explicitly aim to inform non-specialists.

current biology publishes papers reporting findings in any area of biology that have sufficient claim to be of general interest—this could be, for example, because the advance is important for a specific field, or because it is intrinsically of wide interest to biologists generally. we have several formats for publishing original research (articles, reports, and correspondences); see our information for authors for details."
26,24804,"""Neural Networks""",2.781,Q1,https://www.scimagojr.com/journalsearch.php?q=24804&tip=sid&clean=0,"neural networks is the archival journal of the world's three oldest neural modeling societies: the international neural network society (inns), the european neural network society (enns), and the japanese neural network society (jnns). a subscription to the journal is included with membership in each of these societies.

neural networks provides a forum for developing and nurturing an international community of scholars and practitioners who are interested in all aspects of neural networks and related approaches to computational intelligence. neural networks welcomes high quality submissions that contribute to the full range of neural networks research, from behavioral and brain modeling, learning algorithms, through mathematical and computational analyses, to engineering and technological applications of systems that significantly use neural network concepts and techniques. this uniquely broad range facilitates the cross-fertilization of ideas between biological and technological studies, and helps to foster the development of the interdisciplinary community that is interested in biologically-inspired computational intelligence. accordingly, neural networks editorial board represents experts in fields including psychology, neurobiology, computer science, engineering, mathematics, and physics. the journal publishes articles, letters and reviews, as well as letters to the editor, editorials, current events, software surveys, and patent information. articles are published in one of five sections: cognitive science, neuroscience, learning systems, mathematical and computational analysis, engineering and applications."
27,17495,"""NeuroImage""",2.746,Q1,https://www.scimagojr.com/journalsearch.php?q=17495&tip=sid&clean=0,"neuroimage, a journal of brain function, provides a vehicle for communicating important advances in the use of neuroimaging to study structure-function and brain-behavior relationships. though the emphasis is on the macroscopic level of human brain organization, meso-and microscopic neuroimaging across all species will be considered if they provide advances that are of relevance to a systems-level understanding of the human brain.

the main criterion on which papers are judged for neuroimage, is to what extent the scientific contribution helps advance our understanding of brain function, organization, and structure. neuroimage, also welcomes papers that explicitly address these questions in animal models or clinical populations. papers that do not contain significant methodological development, and whose major contribution is to use imaging to advance the understanding of pathology, abnormal development, use of biomarkers or other questions of clinical utility should be referred to neuroimage: clinical.

neuroimage, publishes original research articles, papers on methods, models of brain function, as well as positions on contentious issues. the journal strives to incorporate theoretical and technological innovations and is committed to publishing the highest quality papers in both print and electronic media. the editors and the editorial board members come from highly diverse specialties, reflecting the fact that imaging neuroscience is a multi-disciplinary science."
28,16764,"""Journal of Neuroscience""",2.691,Q1,https://www.scimagojr.com/journalsearch.php?q=16764&tip=sid&clean=0,"to advance neuroscience research by publishing and widely disseminating the highly rigorous research representative of the breadth of neuroscience; to ensure the peer review system remains rapid and fair; and to provide outlets for discussion of neuroscience that are not available elsewhere, allowing for competing ideas, debate, and questions around neuroscience.

jneurosci is a multidisciplinary journal that publishes papers on a broad range of topics of general interest to those working on the nervous system."
29,18045,"""Neuroscience and Biobehavioral Reviews""",2.66,Q1,https://www.scimagojr.com/journalsearch.php?q=18045&tip=sid&clean=0,"the journal publishes review articles which are original and significant and deal with all aspects of neuroscience, where the relationship to the study of psychological processes and behavior is clearly established. conversely, the journal will also publish articles whose primary focus deals with psychological processes and behavior, and which have relevance to one or more aspects of neuroscience.

submissions to the journal are actively encouraged which deal with topics not only in the more traditional areas, but also in the following areas, whenever the reviews bring new insights into brain-behavior relations:

• neuropsychology;
• cognitive neuroscience;
• brain imaging;
• in vivo monitoring of the brain's electrical and biochemical activities;
• molecular biology;
• genetics;
• neurocomputation.

theoretical articles and mini-reviews, for which the scope and literature coverage are more restricted, will also be published. we do not publish empirical papers. we welcome review articles from clinical researchers whose submission exceeds the high quality threshold for the journal and significantly advances our understanding of a field."
30,15370,"""Journal of Abnormal Psychology""",2.643,Q1,https://www.scimagojr.com/journalsearch.php?q=15370&tip=sid&clean=0,"the journal of abnormal psychology® publishes articles on basic research and theory in the broad field of psychopathology and other abnormal behaviors, their determinants, and correlates.

the following topics fall within the journal's major areas of focus:

-psychopathology — its etiology, development, symptomatology, and course
-normal processes in abnormal individuals
-experimental studies, with human or animal subjects, relating to disordered emotional behavior or pathology
-sociocultural effects on pathological processes, including the influence of gender and ethnicity
-novel methods developed to measure psychopathological mechanisms.
empirical papers with a strong theoretical framework and/or models of computational parameters are particularly encouraged. theoretical papers of scholarly substance on abnormality may be appropriate if they advance understanding of a specific issue directly relevant to abnormal psychology and fall within the length restrictions of a regular (not extended) article. case studies from either a clinical setting or a laboratory will be considered if they raise or illustrate important questions that go beyond the single case and have heuristic value."
31,15686,"""GLIA""",2.6,Q1,https://www.scimagojr.com/journalsearch.php?q=15686&tip=sid&clean=0,"glia is a peer-reviewed journal, which publishes articles dealing with all aspects of glial structure and function. this includes all aspects of glial cell biology in health and disease."
32,17407,"""Movement Disorders""",2.473,Q1,https://www.scimagojr.com/journalsearch.php?q=17407&tip=sid&clean=0,"movement disorders publishes: reviews; viewpoints; full length articles; historical reports; brief reports; and letters

original manuscripts, such as those that have not yet been published elsewhere except in abstract form, on the diagnosis, therapeutics, pharmacology, biochemistry, physiology, etiology, genetics, and epidemiology of movement disorders, will be considered for publication.

appropriate topics include the etiology, diagnosis, management, and basic science of: parkinsonism; chorea; tremors; dystonia; myoclonus; tics; tardive; dyskinesia; spasticity; and ataxia"
33,21100820001,"""Neurology: Neuroimmunology and NeuroInflammation""",2.453,Q1,https://www.scimagojr.com/journalsearch.php?q=21100820001&tip=sid&clean=0,"the mission of neurology: neuroimmunology & neuroinflammation is to provide neurologists and translationally minded scientists with peer-reviewed articles, editorials, and reviews to enhance patient care, education, and clinical & translational research.

we publish rigorously peer-reviewed open access reports of original research and in-depth reviews of topics in neuroimmunology & neuroinflammation, affecting the full range of neurologic diseases including (but not limited to): alzheimer disease, parkinson disease, als, tauopathy, and stroke; multiple sclerosis and nmo; inflammatory peripheral nerve and muscle disease, guillain-barré and myasthenia gravis; nervous system infection; paraneoplastic syndromes, noninfectious encephalitides and other antibody-mediated disorders; and psychiatric and neurodevelopmental disorders. clinical trials, instructive case reports, and small case series will also be featured."
34,28475,"""Ageing Research Reviews""",2.437,Q1,https://www.scimagojr.com/journalsearch.php?q=28475&tip=sid&clean=0,"as the average human life expectancy has increased, so too has the impact of ageing and age-related disease on our society. ageing research is now the focus of thousands of laboratories that include leaders in the areas of genetics, molecular and cellular biology, biochemistry, and behaviour. ageing research reviews (arr) covers the trends in this field. it is designed to fill a large void, namely, a source for critical reviews and viewpoints on emerging findings on mechanisms of ageing and age-related disease. rapid advances in understanding of mechanisms that control cellular proliferation, differentiation and survival are leading to new insight into the regulation of ageing. from telomerase to stem cells to energy and oxyradical metabolism, this is an exciting new era in the multidisciplinary field of ageing research. the cellular and molecular underpinnings of manipulations that extend lifespan, such as caloric restriction, are being identified and novel approaches for preventing age-related diseases are being developed. arr publishes articles on focussed topics selected from the broad field of ageing research, with an emphasis on cellular and molecular mechanisms of the aging process and age-related diseases such as cancer, cardiovascular disease, diabetes and neurodegenerative disorders. applications of basic ageing research to lifespan extension and disease prevention are also covered in this journal."
35,13903,"""Cellular and Molecular Life Sciences""",2.424,Q1,https://www.scimagojr.com/journalsearch.php?q=13903&tip=sid&clean=0,"based in basel, switzerland, the multidisciplinary journal cellular and molecular life sciences (cmls) publishes research articles, reviews, multi-author reviews and visions & reflections articles covering the latest aspects of biological and biomedical research. the journal will consider contributions focusing on biochemistry and molecular biology, cell biology, molecular and cellular aspects of biomedicine, neuroscience, pharmacology and immunology. in addition, cmls welcomes comments on any article published in cmls, as well as suggestions for topics to be covered."
36,21100367530,"""Acta neuropathologica communications""",2.415,Q1,https://www.scimagojr.com/journalsearch.php?q=21100367530&tip=sid&clean=0,"acta neuropathologica communications (anc) publishes articles on mechanisms of neurological disease based on experimental or human tissues using molecular, cellular and morphological techniques within two months following submission."
37,26111,"""Frontiers in Neuroendocrinology""",2.383,Q1,https://www.scimagojr.com/journalsearch.php?q=26111&tip=sid&clean=0,"frontiers in neuroendocrinology (fin)is comprised of comprehensive review articles, systematic reviews, opinion pieces, and meta-analyses. most of the reviews are invited but we welcome unsolicited reviews and meta-analyses, and proposals for thematic special issues provided they meet the quality threshold of the journal. we also encourage authors to submit proposals for commentaries which succinctly raise new ideas or provide additional analysis to further explore ramifications of an article published in fin.

areas of interest include:

endocrine interactions that influence neuropsychiatric and neurodegenerative disease
sex differences in clinical populations and in pre-clinical models
stress and stress systems interactions with health and disease
neuroendocrine influences on health across the lifespan from development, puberty, adulthood and aging
microbiota/neuroendocrine interactions with health and disease
neuroendocrine -immune interactions: links to behavior and disease
integrative cellular, molecular and behavioral aspects of hormonally active neuropeptides
comparative and clinical neuroendocrinology
neuroendocrine control of energy balance, glucose homeostasis, and metabolism."
38,11700154204,"""Brain Stimulation""",2.352,Q1,https://www.scimagojr.com/journalsearch.php?q=11700154204&tip=sid&clean=0,"brain stimulation publishes on the entire field of brain stimulation, including noninvasive and invasive techniques and technologies that alter brain function through the use of electrical, magnetic, radiowave, or focally targeted pharmacologic stimulation.

brain stimulation aims to be the premier journal for publication of original research in the field of neuromodulation. the journal includes: a) original articles; b) short communications; c) invited and original reviews; d) technology and methodological perspectives (reviews of new devices, description of new methods, etc.); and e) letters to the editor. special issues of the journal will be considered based on scientific merit.

the scope of brain stimulation extends across the entire field of brain stimulation, including noninvasive and invasive techniques and technologies that alter brain function through the use of electrical, magnetic, radiowave, or focally targeted pharmacologic stimulation. this includes investigations that study the effects of brain stimulation on basic processes, such as gene expression and other aspects of molecular biology, neurochemical regulation, functional brain activity, sensorimotor function, and cognitive and affective processes at the systems level.

the journal seeks the highest level of research on the biophysics and biopsychophysics of stimulation paradigms as well as the use of these techniques as a probe to outline patterns of neural connectivity. as an equal partner with this basic emphasis, the journal will have strong representation of research on the therapeutic potential and adverse effects of the stimulation technologies. the inclusion of research in therapeutics will represent not only clinical trials, but also conceptual pieces, discussions of ethics as they pertain to this field, services research, etc."
39,19700187601,"""Developmental Cognitive Neuroscience""",2.352,Q1,https://www.scimagojr.com/journalsearch.php?q=19700187601&tip=sid&clean=0,"the journal publishes theoretical and research papers on cognitive brain development, from infancy through childhood and adolescence and into adulthood. it covers neurocognitive development and neurocognitive processing in both typical and atypical development, including social and affective aspects. appropriate methodologies for the journal include, but are not limited to, functional neuroimaging (fmri and meg), electrophysiology (eeg and erp), nirs and transcranial magnetic stimulation, as well as other basic neuroscience approaches using cellular and animal models that directly address cognitive brain development, patient studies, case studies, post-mortem studies and pharmacological studies."
40,15478,"""Journal of Experimental Psychology: General""",2.316,Q1,https://www.scimagojr.com/journalsearch.php?q=15478&tip=sid&clean=0,"the journal of experimental psychology: general® publishes articles describing empirical work that is of broad interest or bridges the traditional interests of two or more communities of psychology.

the work may touch on issues dealt with in jep: learning, memory, and cognition, jep: human perception and performance, jep: animal behavior processes, or jep: applied, but may also concern issues in other subdisciplines of psychology, including social processes, developmental processes, psychopathology, neuroscience, or computational modeling."
41,19700174935,"""Alzheimer's Research and Therapy""",2.315,Q1,https://www.scimagojr.com/journalsearch.php?q=19700174935&tip=sid&clean=0,"alzheimer's research & therapy is the major forum for translational research into alzheimer's disease. an international peer-reviewed journal, it publishes open access basic research with a translational focus, as well as clinical trials, research into drug discovery and development, and epidemiologic studies. the journal also provides reviews, viewpoints, commentaries, debates and reports.

although the primary focus is alzheimer's disease, the scope encompasses translational research into other neurodegenerative diseases."
42,21100445639,"""Biological Psychiatry: Cognitive Neuroscience and Neuroimaging""",2.298,Q1,https://www.scimagojr.com/journalsearch.php?q=21100445639&tip=sid&clean=0,"biological psychiatry: cognitive neuroscience and neuroimaging is an official journal of the society for biological psychiatry, whose purpose is to promote excellence in scientific research and education in fields that investigate the nature, causes, mechanisms, and treatments of disorders of thought, emotion, or behavior. in accord with this mission, this peer-reviewed, rapid-publication, international journal focuses on studies using the tools and constructs of cognitive neuroscience, including the full range of non-invasive neuroimaging and human extra- and intracranial physiological recording methodologies. it publishes both basic and clinical studies, including those that incorporate genetic data, pharmacological challenges, and computational modeling approaches. the journal publishes novel results of original research which represent an important new lead or significant impact on the field. reviews and commentaries that focus on topics of current research and interest are also encouraged."
43,50032,"""Journal of Neuroinflammation""",2.286,Q1,https://www.scimagojr.com/journalsearch.php?q=50032&tip=sid&clean=0,"journal of neuroinflammation is an open access, peer-reviewed journal that focuses on interactions of the immune system (and especially the innate immune system) with the nervous system.  this includes the roles of cns immune mediators (such as microglia and astrocytes, and their expressed cytokines and chemokines) as well as the roles of peripheral neuro-immune interactions, t cells, monocytes, complement proteins, acute phase proteins, oxidative injury and related molecular processes.

neuroinflammation is a rapidly expanding field that has revolutionized our understanding of chronic neurological diseases. this field has grown to encompass researchers with backgrounds in many diverse fields, including pathology, biochemistry, molecular biology, genetics, clinical medicine, and epidemiology. important contributions to this field have come from work with populations, patients, postmortem tissues, animal models, and in vitro systems.

journal of neuroinflammation brings together work focusing on common pathogenic processes, and provides a forum for integrative reviews and commentaries on this field."
44,21100982311,"""npj Parkinson's Disease""",2.25,Q1,https://www.scimagojr.com/journalsearch.php?q=21100982311&tip=sid&clean=0,
45,21100206244,"""Open Biology""",2.237,Q1,https://www.scimagojr.com/journalsearch.php?q=21100206244&tip=sid&clean=0,"open biology is an online journal that welcomes original, high impact research in cell and developmental biology, molecular and structural biology, biochemistry, neuroscience, immunology, microbiology and genetics.

articles submitted to open biology benefit from its broad scope and readership and dedicated media promotion and we also aim for a turnaround time of 4 weeks from submission to first decision."
