Rank,Sourceid,Title,SJR,SJR Best Quartile,URL,Scope
11,21100778827,"""Nature Methods""",12.115,Q1,https://www.scimagojr.com/journalsearch.php?q=21100778827&tip=sid&clean=0,"nature methods is a forum for the publication of novel methods and significant improvements to tried-and-tested basic research techniques in the life sciences. this monthly publication is aimed at a broad, interdisciplinary audience of academic and industry researchers actively involved in laboratory practice. it provides them with new tools to conduct their research and places a strong emphasis on the immediate practical relevance of the work presented.

the journal publishes primary research papers as well as overviews of recent technical and methodological developments. we are actively seeking primary methods papers of relevance to the biological and biomedical sciences, including methods grounded in chemistry that have a practical application to the study of biological problems.

to enhance the practical relevance of each paper, description of the method must be accompanied by its validation, its application to an important biological question and results illustrating its performance in comparison to available approaches. articles are selected for publication that present broad interest, thorough assessments of methodological performance and comprehensive technical descriptions that facilitate immediate application."
12,29093,"""Cancer Cell""",9.975,Q1,https://www.scimagojr.com/journalsearch.php?q=29093&tip=sid&clean=0,"cancer cell provides a high-profile forum to promote major advances in cancer research and oncology. the primary criterion for considering manuscripts is whether the studies provide major advances into answering important questions relevant to naturally occurring cancers. cancer cell particularly welcomes translational research. cancer cell is also interested in publishing clinical investigations, in particular those that lead to establishing new paradigms in the treatment, diagnosis, or prevention of cancers; those that provide important insights into cancer biology beyond what has been revealed by preclinical studies; and those that are mechanism-based proof-of-principle clinical studies."
13,18606,"""Molecular Cell""",9.959,Q1,https://www.scimagojr.com/journalsearch.php?q=18606&tip=sid&clean=0,"molecular cell is a companion to cell, the leading journal of biology and the highest-impact journal in the world. 

launched in december 1997 and published monthly, molecular cell defines the field of molecular biology with a relatively small number of significant papers, up to 15 articles per issue. coverage will extend from structure to human diseases, concentrating on molecular analyses. topics that will be represented in the first issues include gene expression, rna processing, replication, recombination and repair, structure, chaperones, receptors, signal transduction, cell cycle, and tumorigenesis."
14,19014,"""Nature Cell Biology""",9.897,Q1,https://www.scimagojr.com/journalsearch.php?q=19014&tip=sid&clean=0,"nature cell biology publishes papers of the highest quality from all areas of cell biology, encouraging those that shed light on the mechanisms underlying fundamental cell biological processes. the journal's scope is broad and specific areas of interest include, but are not limited to:

-autophagy
-cancer biology
-cell adhesion and migration
-cell cycle and growth
-cell death
-chromatin and epigenetics
-cytoskeletal dynamics
-developmental biology
-dna replication and repair
-mechanisms of human disease
-mechanobiology
-membrane traffic and dynamics
-metabolism
-nuclear organization and dynamics
-organelle biology
-proteolysis and quality control
-rna biology
-signal transduction
-stem cell biology"
15,21100237403,"""Lancet Diabetes and Endocrinology,The""",9.767,Q1,https://www.scimagojr.com/journalsearch.php?q=21100237403&tip=sid&clean=0,"each monthly issue of the lancet diabetes & endocrinology features original clinical research, expert reviews, news, and provocative comment and opinion in diabetes and endocrinology, providing a clear, independent perspective about the clinical advances and practice-changing research shaping your specialty globally. the journal publishes papers that reflect the rich variety of ongoing clinical research in these fields, in particular in the areas of diabetes, obesity, nutrition and metabolism, osteoporosis, adrenal disorders, bone metabolism, growth disorders, lipid disorders, neuroendocrinology, paediatric endocrinology, pituitary disorders, reproductive endocrinology, and thyroid disorders."
16,21100773752,"""Nature Microbiology""",9.69,Q1,https://www.scimagojr.com/journalsearch.php?q=21100773752&tip=sid&clean=0,"nature microbiology is interested in all aspects of microorganisms, be it their evolution, physiology and cell biology; their interactions with each other, with a host or with an environment; or their societal significance. nature microbiology provides a place where all researchers and policymakers interested in microorganisms can come together to learn about the most accomplished and significant advances in the field and to discuss topical issues. an online-only monthly journal, our broad scope ensures that the research published reaches the widest possible audience of microbiologists."
17,16721,"""Annual Review of Plant Biology""",9.575,Q1,https://www.scimagojr.com/journalsearch.php?q=16721&tip=sid&clean=0,"the annual review of plant biology, in publication since 1950, covers the significant developments in the field of plant biology, including biochemistry and biosynthesis, genetics, genomics and molecular biology, cell differentiation, tissue, organ and whole plant events, acclimation and adaptation, and methods and model organisms."
18,21706,"""Annual Review of Genetics""",9.498,Q1,https://www.scimagojr.com/journalsearch.php?q=21706&tip=sid&clean=0,"the annual review of genetics, in publication since 1967, covers significant developments in the field of genetics. these include biochemical, behavioral, cell, and developmental genetics; evolutionary and population genetics; chromosome structure and transmission; gene function and expression; mutation and repair; genomics; immunogenetics; and other topics as related to the genetics of viruses, bacteria, fungi, plants, and animals, including humans."
19,29949,"""Journal of Clinical Oncology""",9.378,Q1,https://www.scimagojr.com/journalsearch.php?q=29949&tip=sid&clean=0,"the journal of clinical oncology serves its readers as the single most credible, authoritative resource for disseminating significant clinical oncology research. in print and in electronic format, jco strives to publish the highest quality articles dedicated to clinical research. original reports remain the focus of jco, but this scientific communication is enhanced by appropriately selected editorials, commentaries, reviews, and other work that relate to the care of patients with cancer."
20,5300152732,"""Cell Host and Microbe""",9.373,Q1,https://www.scimagojr.com/journalsearch.php?q=5300152732&tip=sid&clean=0,"cell host & microbe was launched in march 2007. the journal's mission is to provide a forum for the exchange of ideas and concepts between scientists studying the microbe with those studying the host immune, cell biological, and molecular response upon colonization or infection by a microbe.

cell host & microbe will publish novel findings related to microbes (which includes bacteria, fungi, parasites, and viruses) from molecular and cellular biology to translational studies with particular emphasis on the interface between the microbe and its host (vertebrate, invertebrate, or plant; unicellular or multicellular). the unifying theme is the integrated study of microbes (pathogenic, non-pathogenic, and commensal) in conjunction and communication with each other, their host, and the cellular environment they inhabit. work published in cell host & microbe is expected not only to be of exceptional significance within its field, but also of interest to researchers outside the immediate area. in addition to primary research manuscripts, cell host & microbe will publish expert analysis, commentary, and reviews on topics of current interest in the field.

topics covered include: 

- molecular and cell biology of microbes
 
- microbial pathogenesis
 
- host cellular and immune response to microbes
 
- immune evasion
 
- therapeutics
 
- evolution, epidemiology, and natural history of microbes
 
- vaccine design, development, and trials
 
- emerging pathogens"
21,40944,"""Genome Biology""",9.371,Q1,https://www.scimagojr.com/journalsearch.php?q=40944&tip=sid&clean=0,"genome biology covers all areas of biology and biomedicine studied from a genomic and post-genomic perspective. content includes research, new methods and software tools, and reviews, opinions and commentaries. areas covered include, but are not limited to: sequence analysis; bioinformatics; insights into molecular, cellular and organismal biology; functional genomics; epigenomics; population genomics; proteomics; comparative biology and evolution; systems and network biology; genome editing and engineering; genomics of disease; and clinical genomics."
22,146172,"""Cell Metabolism""",9.297,Q1,https://www.scimagojr.com/journalsearch.php?q=146172&tip=sid&clean=0,"welcome and thank you for considering submitting your work to cell metabolism. established in 2005, cell metabolism is the top research journal dedicated to publishing novel, impactful papers spanning basic to clinical metabolic research. we are interested in original research addressing the molecular mechanisms underlying physiological homeostasis and what goes awry in disease.

the journal's mission is to provide the metabolic community a forum for the exchange of ideas and concepts and to promote cross-disciplinary research and collaboration. in line with this, we aim to publish work that is not only of exceptional significance within its field, but also of interest to researchers outside the immediate area, promoting idea cross-pollination. 

cell metabolism's scope includes diabetes, obesity, pancreatic beta cell function, adipose tissue biology (white, brown, and beige), lipid metabolism, cardiovascular biology, immunometabolism, bone homeostasis, aging and stress responses, sarcopenia, intermediary metabolism and cancer, cachexia, neuronal control of metabolism and metabolic derangements causing neurodegeneration, circadian biology, stem cell energetics, exercise metabolism, the biology of mitochondria and other metabolic organelles such as peroxisomes and the er, etc.

for original research articles, different formats are available such as ""research article,"" ""short article,"" ""clinical and translational report,"" and ""resource.""

for non-research (front matter) articles, the formats include ""letter,"" ""essay,"" ""minireview,"" ""review,"" and ""perspective."""
23,17700156440,"""Nature Reviews Endocrinology""",8.561,Q1,https://www.scimagojr.com/journalsearch.php?q=17700156440&tip=sid&clean=0,"nature reviews endocrinology aims to be the premier source of reviews and commentaries for the scientific communities we serve. we strive to publish articles that are authoritative, accessible and enhanced with clearly understandable figures, tables and other display items. we want to provide an unparalleled service to authors, referees and readers, and we work hard to maximize the usefulness and impact of each article. the journal publishes research highlights, comments, news & views, reviews, consensus statements and perspectives relevant to researchers and clinicians working in the fields of endocrinology and metabolism, with our broad scope ensuring that the work we publish reaches the widest possible audience. this page gives more detail about the aims and scope of the journal."
24,12394,"""Nature Structural and Molecular Biology""",8.497,Q1,https://www.scimagojr.com/journalsearch.php?q=12394&tip=sid&clean=0,"nature structural & molecular biology is an integrated forum for structural and molecular studies. the journal places a strong emphasis on functional and mechanistic understanding of how molecular components in a biological process work together. structural data may provide such insights, but they are not a pre-requisite for publication in the journal."
25,14204,"""Nucleic Acids Research""",8.241,Q1,https://www.scimagojr.com/journalsearch.php?q=14204&tip=sid&clean=0,"nar provides rapid publication of papers on physical, chemical, biochemical and biological aspects of nucleic acids and proteins involved in nucleic acid metabolism and/or interactions. all manuscripts must present some novel development and meet the general criteria of originality, timeliness, significance and scientific excellence."
26,6100153018,"""Cell Stem Cell""",7.935,Q1,https://www.scimagojr.com/journalsearch.php?q=6100153018&tip=sid&clean=0,"cell stem cell is a broad-spectrum journal that covers the entire spectrum of stem cell biology. topics covered include embryonic stem cells, pluripotency, germline stem cells, tissue-specific stem cells, stem cell differentiation, epigenetics, stem cell genomics and systems biology, genome reprogramming, cancer stem cells, stem cell niches, stem-cell-based disease models, nuclear transfer technology, bioengineering, drug discovery, in vivo imaging of stem cells, therapeutic applications, regenerative medicine, clinical and translational insights, stem cell research policies, ethical issues, and technical or resource-based innovations. we will consider studies from any model system that provides insights into stem cell biology, and we encourage submissions on human stem cells.

cell stem cell publishes research reports describing novel results of unusual significance in all areas of stem cell research. each issue also contains a wide variety of review and analysis articles covering topics relevant to stem cell research ranging from basic biological advances to ethical, policy, and funding issues."
27,13900,"""Cell Research""",7.804,Q1,https://www.scimagojr.com/journalsearch.php?q=13900&tip=sid&clean=0,"cell research (cr) publishes original research results that are of unusual significance or broad conceptual or technical advances in all areas of life sciences, as long as the study is closely related to molecular and cell biology. the journal has an international authorship and a broad scope in basic research including: cell growth, differentiation & apoptosis; signal transduction; stem cell biology & development; chromatin, epigenetics & transcription; rna biology; structural & molecular biology; cancer biology; immunity & molecular pathogenesis; molecular & cellular neuroscience; plant molecular & cell biology; genomics & proteomics."
28,21100420583,"""JAMA Oncology""",7.502,Q1,https://www.scimagojr.com/journalsearch.php?q=21100420583&tip=sid&clean=0,"jama oncology is committed to publishing influential original research, opinions, and reviews that advance the science of oncology and improve the clinical care of patients with cancer. our original, innovative, and timely scientific and educational content provides a deeper understanding of cancer pathogenesis and recent treatment advances for our readers. jama oncology aims to effectively convey the findings of important clinical research, major scientific breakthroughs, actionable discoveries, and state-of-the-art treatment pathways to the oncology community. our goal is that successful communication of new knowledge will ultimately translate to clinical benefit for people living with and surviving cancer"
29,21100778657,"""Acta Crystallographica Section D: Structural Biology""",7.498,Q1,https://www.scimagojr.com/journalsearch.php?q=21100778657&tip=sid&clean=0,"acta crystallographica section d welcomes the submission of articles covering any aspect of structural biology, with a particular emphasis on the structures of biological macromolecules or the methods used to determine them.

reports on new structures of biological importance may address the smallest macromolecules to the largest complex molecular machines. these structures may have been determined using any structural biology technique including crystallography, nmr, cryoem and/or other techniques. the key criterion is that such articles must present significant new insights into biological, chemical or medical sciences. the inclusion of complementary data that support the conclusions drawn from the structural studies (such as binding studies, mass spectrometry, enzyme assays, or analysis of mutants or other modified forms of biological macromolecule) is encouraged.

methods articles may include new approaches to any aspect of biological structure determination or structure analysis but will only be accepted where they focus on new methods that are demonstrated to be of general applicability and importance to structural biology. articles describing particularly difficult problems in structural biology are also welcomed, if the analysis would provide useful insights to others facing similar problems."
30,19066,"""Trends in Cell Biology""",7.413,Q1,https://www.scimagojr.com/journalsearch.php?q=19066&tip=sid&clean=0,"trends in cell biology is among the leading review journals in molecular and cell biology. review articles published each month monitor the breadth and depth of current research in cell biology, reporting on new developments as they happen and integrating methods, disciplines and principles.

all articles are commissioned from leading scientists and then subjected to stringent peer-review, ensuring balance and accuracy. in addition to reviews, trends in cell biology publishes opinion articles, which follow trends and provide innovative ideas to give insight into the implications of new developments and suggest future directions."
31,12000154482,"""Annual Review of Biophysics""",7.164,Q1,https://www.scimagojr.com/journalsearch.php?q=12000154482&tip=sid&clean=0,"the annual review of biophysics, in publication since 1972, covers significant developments in the field of biophysics, including macromolecular structure, function and dynamics, theoretical and computational biophysics, molecular biophysics of the cell, physical systems biology, membrane biophysics, biotechnology, nanotechnology, and emerging techniques."
32,5800207366,"""Nature Protocols""",7.063,Q1,https://www.scimagojr.com/journalsearch.php?q=5800207366&tip=sid&clean=0,"nature protocols aims to publish the protocols being used to answer outstanding biological and biomedical science research questions, including methods grounded in physics and chemistry that have a practical application to the study of biological problems. as the main audience for nature protocols articles is research scientists, we only publish protocols that have research applications; thus, we do not publish protocols where the main application is to make decisions that influence patient management and treatment. specific techniques of interest include, but are not limited to, protocols relating to: biochemistry; cell biology; cell culture; chemical modification; computational biology; developmental biology; epigenomics; genetic analysis; genetic modification; genomics; imaging; immunology; isolation, purification and separation; lipidomics; metabolomics; microbiology; model organisms; nanotechnology; neuroscience; nucleic-acid based molecular biology; pharmacology; plant biology; protein analysis; proteomics; spectroscopy; structural biology; synthetic chemistry; tissue culture; toxicology; virology."
33,21100394875,"""Cell Systems""",7.048,Q1,https://www.scimagojr.com/journalsearch.php?q=21100394875&tip=sid&clean=0,"cell systems was established in 2015 to provide a home at cell press for elegant work that addresses fundamental questions in systems biology. ""systems biology,"" as we broadly define it, is work that develops a rigorous understanding of any biological phenomenon where one plus one does not apparently equal two. disciplines in the physical sciences have met this challenge for a long time, and we've found that our strongest papers tend to apply classic approaches taken in physics, engineering, mathematics, and computer science to salient biological questions. manuscripts describing discoveries, milestone achievements, broadly useful tools or resources, or insights into the use of technology may all be appropriate. cross-disciplinary studies that reveal general principles of systems are particularly welcome.

we believe it's our responsibility to ensure that the next generation of scientists can begin their work on solid ground. accordingly, we focus our review process on validity and scientific acuity, rather than more subjective feelings and opinions. we also believe that scientific transparency is of paramount importance. a study's structure and presentation should be candid and forthright (e.g. it should ensure fair comparisons; it should either use non-arbitrary cut-offs or clearly explained arbitrary cut-offs that do not affect outcomes; its data visualization choices should promote objective understanding; its limitations should not be obscured). fundamentally good scientific practice also demands that studies be repeatable. we encourage authors to make their code and data fair—that is findable, accessible, interoperable, and reusable, as defined by the nih data commons. although it is too early to formally require that all studies we publish be fair, we consider that requirement annually."
34,12429,"""Molecular Cancer""",6.896,Q1,https://www.scimagojr.com/journalsearch.php?q=12429&tip=sid&clean=0,"molecular cancer promotes the exchange of ideas, concepts and findings in any area of cancer and related biomedical science, from a molecular point of view. molecular cancer is interested in articles from basic, translational and clinical research, opening new avenues for the understanding, prevention, diagnosis and treatment of cancer. topics of interest include, but are not limited to: cell and tumor biology, angiogenesis, animal models, metastasis, cancer antigens and the immune response to them, cellular signalling and molecular biology, epidemiology, genetic and molecular profiling of cancer and molecular targets, cancer stem cells, dna damage and repair, cell cycle, apoptosis, molecular virology and vaccine- and antibody-based cancer therapies."
35,26038,"""Endocrine Reviews""",6.86,Q1,https://www.scimagojr.com/journalsearch.php?q=26038&tip=sid&clean=0,"endocrine reviews publishes bimonthly, including concise timely reviews updating key mechanistic and clinical concepts, as well as more comprehensive, authoritative review articles spanning both experimental and clinical endocrinology themes. endocrine reviews will consider topics that inform clinical practice based on emerging and established evidence from clinical research as well as reviews of advances in endocrine science emanating from studies of cell biology, immunology, pharmacology, genetics, molecular biology, neuroscience, reproductive medicine, and pediatric endocrinology."
36,120008,"""Annual Review of Physiology""",6.709,Q1,https://www.scimagojr.com/journalsearch.php?q=120008&tip=sid&clean=0,"the annual review of physiology, in publication since 1939, covers the significant developments in the field of animal physiology, including cardiovascular physiology; cell physiology; ecological, evolutionary, and comparative physiology; endocrinology; gastrointestinal physiology; neurophysiology; renal and electrolyte physiology; respiratory physiology; and special topics."
37,22126,"""Genes and Development""",6.535,Q1,https://www.scimagojr.com/journalsearch.php?q=22126&tip=sid&clean=0,"genes & development publishes high-quality research papers of broad general interest and biological significance in the areas of molecular biology, molecular genetics, and related fields. in addition to review articles and perspectives, genes & development publishes three research formats—research papers, short research communications, and resource/methodology papers."
38,4700152228,"""Molecular Systems Biology""",6.523,Q1,https://www.scimagojr.com/journalsearch.php?q=4700152228&tip=sid&clean=0,"systems biology is an integrative discipline that seeks to explain the properties and behaviour of complex biological systems in terms of their components and their interactions.

molecular systems biology is a peer-reviewed open access journal that publishes high-quality research in the fields of systems biology, synthetic biology and systems medicine.

the editors select manuscripts based on their novelty and wide biological significance. although the primary emphasis of the journal is on molecular components and their interactions, systems studies at the organ level may also be considered. works describing large-scale datasets will be judged, in part, by the extent to which these datasets are integrated both with each other and with computational models, with the ultimate aim to better understand the dynamic and complex nature of living systems. reports of new experimental methods will also be considered in the context of this policy.

topics falling within the scope of the journal include, but are not limited to:

- integrative genome-scale biology 
- quantitative biology
- computational biology 
- metabolic and regulatory networks 
- evolution of genomes and biological networks
- clinical and translational systems biology 
- synthetic biology and genome-scale biological engineering
- molecular systems biology publishes research articles as full-length articles or short reports. 

the journal also publishes methods, reviews, news & views, correspondences and editorials."
39,18395,"""Annual Review of Cell and Developmental Biology""",6.375,Q1,https://www.scimagojr.com/journalsearch.php?q=18395&tip=sid&clean=0,"the annual review of cell and developmental biology, in publication since 1985, covers the most significant developments in the field of cell and developmental biology, including structure, function, and organization of the cell, development and evolution of the cell as it relates to single and multicellular organisms, and models and tools of molecular biology."
40,21100932733,"""Nature Metabolism""",6.201,Q1,https://www.scimagojr.com/journalsearch.php?q=21100932733&tip=sid&clean=0,
41,21101023100,"""Nature Cancer""",6.186,Q1,https://www.scimagojr.com/journalsearch.php?q=21101023100&tip=sid&clean=0,
42,14305,"""Systematic Biology""",6.183,Q1,https://www.scimagojr.com/journalsearch.php?q=14305&tip=sid&clean=0,"systematic biology is the bimonthly journal of the society of systematic biologists. papers for the journal are original contributions to the theory, principles, and methods of systematics as well as phylogeny, evolution, morphology, biogeography, paleontology, genetics, and the classification of all living things. a points of view section offers a forum for discussion, while book reviews and announcements of general interest are also featured."
43,21100788876,"""Chem""",6.073,Q1,https://www.scimagojr.com/journalsearch.php?q=21100788876&tip=sid&clean=0,"chem, a sister journal to cell, provides a home for seminal and insightful research and showcases how fundamental studies in chemistry and its sub-disciplines may help in finding potential solutions to the global challenges of tomorrow. 

chem publishes work from across the chemical sciences and at the interfaces between chemistry and other disciplines. on submission, authors are asked to categorize their article into at least one of the following ten sustainable development goals identified by the united nations:

good health and well-being
affordable and clean energy
clean water and sanitation
climate action
zero hunger
sustainable cities and communities
responsible consumption and production
industry, innovation, and infrastructure
life on land
life below water"
44,21101027628,"""Cell Reports Medicine""",5.956,Q1,https://www.scimagojr.com/journalsearch.php?q=21101027628&tip=sid&clean=0,
45,22680,"""Journal of the American Chemical Society""",5.728,Q1,https://www.scimagojr.com/journalsearch.php?q=22680&tip=sid&clean=0,"the journal of the american chemical society (jacs), founded in 1879, is the flagship journal of the american chemical society and the world's preeminent journal in all of chemistry and interfacing areas of science. this periodical is devoted to the publication of fundamental research papers and publishes approximately 19,000 pages of articles, communications, and perspectives a year. published weekly, jacs provides research essential to the field of chemistry."
46,22214,"""Genome Research""",5.707,Q1,https://www.scimagojr.com/journalsearch.php?q=22214&tip=sid&clean=0,"launched in 1995, genome research is an international, continuously published, peer-reviewed journal that publishes studies on the structure, function, biology, and evolution of genomes of all organisms, with a long-standing emphasis on genome-scale analyses, chromatin structure and function, epigenomics, systems genetics, and proteomics. we also feature gene discoveries that provide novel insights and reports of high-throughput experimental and computational approaches. in addition to these core areas, the journal is now particularly interested in the following areas: comprehensive characterization of genome sequence variation; understanding the basis of phenotypic complexity; network biology and the functional effects of genetic variation; evolutionary mechanisms of species origin, adaptation, and genomic diversity, including the study of ancient dna; genomic medicine, including mechanisms of penetrance, expressivity, and modifier effects; understanding genomic and biological processes through single-cell analyses; novel computational algorithms that provide insight into biological processes; genome editing and engineering."
47,21708,"""Annual Review of Genomics and Human Genetics""",5.653,Q1,https://www.scimagojr.com/journalsearch.php?q=21708&tip=sid&clean=0,"the annual review of genomics and human genetics, in publication since 2000, covers significant developments in the field of genomics as they apply to human genetics and the human genome. we have particular interest in the areas of genomic technology, genome structure and function, genetic modification, human variation and population genetics, human evolution and, importantly, all aspects of human genetic disease and including individualized medicine."
48,21100831443,"""Nature Biomedical Engineering""",5.635,Q1,https://www.scimagojr.com/journalsearch.php?q=21100831443&tip=sid&clean=0,"straddling the life sciences, the physical sciences and engineering, nature biomedical engineering covers materials, therapies, devices, technology, systems, methods and processes that facilitate the understanding of human disease, or its prevention, diagnosis, treatment, alleviation or monitoring.

the journal disseminates biological, medical and engineering advances — of fundamental, mechanistic, methodological, technological, therapeutic, translational or clinical nature — that can directly lead to or inspire improvements in human health or healthcare. the emphasis is on advances that draw on both the biomedical sciences and the physical sciences, engineering, mathematics or informatics.

the scope hence excludes advances that improve the understanding of human biology or disease but whose relevance for health or healthcare is judged to be insufficient, as well as advances that do not make use of principles or tools from the physical sciences or engineering."
